Models, ,Fake,  ,   ,True,    ,f₁ - Macros
 ,p,r,f₁,p,r,f₁,  
qwen2:7b,94% ± 3% ,95% ± 3% ,95% ± 2% ,96% ± 3% ,94% ± 3% ,95% ± 2% ,95% ± 2% 
phi3:14b,93% ± 5% ,97% ± 3% ,95% ± 3% ,97% ± 3% ,92% ± 6% ,94% ± 3% ,95% ± 3% 
llama3:8b,98% ± 2% ,95% ± 3% ,97% ± 2% ,96% ± 3% ,98% ± 3% ,97% ± 2% ,97% ± 2% 
gemma:7b,92% ± 4% ,94% ± 3% ,93% ± 3% ,94% ± 3% ,92% ± 4% ,93% ± 3% ,93% ± 3% 
phi3,93% ± 4% ,95% ± 3% ,94% ± 3% ,95% ± 3% ,92% ± 4% ,94% ± 3% ,94% ± 3% 
mxbai-embed-large,94% ± 3% ,94% ± 4% ,93% ± 2% ,94% ± 3% ,93% ± 4% ,94% ± 2% ,94% ± 2% 
all-minilm,95% ± 2% ,93% ± 6% ,94% ± 4% ,94% ± 5% ,95% ± 2% ,94% ± 3% ,94% ± 3% 
snowflake-arctic-embed2,93% ± 3% ,99% ± 2% ,96% ± 2% ,99% ± 2% ,93% ± 4% ,96% ± 2% ,96% ± 2% 
