K_Group, ,Fake,  ,   ,True,    ,f₁ - Macros
 ,p,r,f₁,p,r,f₁,  
K-1,1.0,0.87,0.93,0.88,1.0,0.94,0.93
K-2,1.0,0.8,0.89,0.83,1.0,0.91,0.9
K-3,0.93,0.93,0.93,0.93,0.93,0.93,0.93
K-4,0.94,1.0,0.97,1.0,0.93,0.97,0.97
K-5,0.93,0.93,0.93,0.93,0.93,0.93,0.93
K-6,0.94,1.0,0.97,1.0,0.93,0.97,0.97
K-7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K-8,0.82,0.93,0.87,0.92,0.8,0.86,0.87
K-9,0.88,0.93,0.9,0.93,0.87,0.9,0.9
K-10,0.93,1.0,0.96,1.0,0.94,0.97,0.97
Means,0.94±0.03,0.94±0.04,0.93±0.02,0.94±0.03,0.93±0.04,0.94±0.02,0.94±0.02
