K_Group, ,Fake,  ,   ,True,    ,f₁ - Macros
 ,p,r,f₁,p,r,f₁,  
K-1,0.94,1.0,0.97,1.0,0.93,0.97,0.97
K-2,0.93,0.87,0.9,0.88,0.93,0.9,0.9
K-3,0.94,1.0,0.97,1.0,0.93,0.97,0.97
K-4,0.94,1.0,0.97,1.0,0.93,0.97,0.97
K-5,0.88,1.0,0.94,1.0,0.87,0.93,0.93
K-6,0.76,0.87,0.81,0.85,0.73,0.79,0.8
K-7,1.0,0.93,0.97,0.94,1.0,0.97,0.97
K-8,0.94,1.0,0.97,1.0,0.93,0.97,0.97
K-9,0.93,0.93,0.93,0.93,0.93,0.93,0.93
K-10,1.0,0.92,0.96,0.94,1.0,0.97,0.97
Means,0.93±0.04,0.95±0.03,0.94±0.03,0.95±0.03,0.92±0.04,0.94±0.03,0.94±0.03
